primary_name,type
Laceration,conditions
Back pain,conditions
Abdominal pain,conditions
Chest pain,conditions
Diabetes mellitus,conditions
Arteriovenous fistula,conditions
Arteriovenous malformation,conditions
Influenza A infection,conditions
Hepatitis A,conditions
Hemophilia A,conditions
Arteriovenous shunt,conditions
Headache,conditions
Adenotonsillar hypertrophy,conditions
Hemoglobin A2 - high,conditions
Atrial tachycardia - paroxysmal with av block,conditions
Lower back pain,conditions
Depression,conditions
Linear immunoglobulin A dermatosis,conditions
Knee pain,conditions
Upper respiratory infection,conditions
Toothache,conditions
Blood group A positive,conditions
Abdominal aneurysm,conditions
Asthma,conditions
Dyspnea,conditions
Bronchitis - acute,conditions
Pharyngitis,conditions
Sinusitis - acute,conditions
Cellulitis,conditions
Otitis media,conditions
Abscess,conditions
Shoulder pain,conditions
Esophageal reflux,conditions
Motor vehicle accident,conditions
Neck pain,conditions
Anxiety,conditions
Rash,conditions
Diabetes mellitus - non insulin dependent,conditions
Leg pain,conditions
Vaginosis - bacterial,conditions
Rhinitis - allergic,conditions
Abuse - alcohol,conditions
Coronary artery disease,conditions
Chronic obstructive pulmonary disease,conditions
Dizziness,conditions
Sinusitis,conditions
Viral infection,conditions
Gastroenteritis,conditions
Vomiting,conditions
Ankle/foot pain,conditions
Hip pain,conditions
Congestive heart failure,conditions
Hyperlipidemia,conditions
Chest discomfort,conditions
Migraine,conditions
Vulvovaginitis - candidal,conditions
Fatigue,conditions
Ankle sprain,conditions
Hyperglycemia,conditions
Pelvic pain,conditions
Syncope,conditions
Chronic obstructive pulmonary disease exacerbation,conditions
Uterine bleeding - abnormal,conditions
Foot pain,conditions
Diabetes mellitus - insulin dependent,conditions
Ear pain,conditions
Edema peripheral,conditions
Otitis media - acute,conditions
Dermatitis,conditions
Tooth abscess,conditions
False labor,conditions
Arm pain,conditions
Dermatitis - contact,conditions
Vaginal discharge,conditions
Muscle strain,conditions
Mental state - altered,conditions
Throat pain,conditions
Flank pain,conditions
Acne,conditions
Lower leg injury,conditions
Hand pain,conditions
Head injury,conditions
Vertigo,conditions
Epigastric pain,conditions
Tonsillitis - acute,conditions
HIV positive,conditions
Wrist pain,conditions
Vaginitis,conditions
Eye pain,conditions
Arthralgia,conditions
Obesity,conditions
Folliculitis,conditions
AIDS,conditions
Hand injury,conditions
Spontaneous abortion,conditions
Nausea,conditions
Shoulder or upper arm injury,conditions
Atopic dermatitis,conditions
Cervicitis,conditions
Pap smear - abnormal,conditions
Urticaria,conditions
Stroke,conditions
Eczema,conditions
Weight loss,conditions
Pancreatitis - acute,conditions
Fibromyalgia,conditions
Conjunctivitis - acute,conditions
Radiculopathy,conditions
Pelvic inflammatory disease,conditions
Cigarette smoker,conditions
Hernia - inguinal,conditions
Furuncle,conditions
Breast pain,conditions
Anemia - iron deficiency,conditions
Ankle fracture,conditions
Liver function tests - abnormal,conditions
Back strain,conditions
Renal insufficiency - chronic,conditions
Tuberculosis skin test (PPD) reactive,conditions
Rectal bleeding,conditions
Myalgia,conditions
Costochondritis,conditions
Renal failure - acute,conditions
Amenorrhea,conditions
Sleep apnea,conditions
Angina - unstable,conditions
Pyelonephritis - acute,conditions
Corneal abrasions,conditions
Uterine bleeding - dysfunctional,conditions
Rheumatoid arthritis,conditions
Tinea pedis,conditions
Toe pain,conditions
Drug abuse - mixed,conditions
Psoriasis,conditions
Toxicity - alcohol,conditions
Paronychia toe,conditions
Elbow pain,conditions
Hyperthyroidism,conditions
Reactive airway disease,conditions
Alcohol abuse - continuous,conditions
Deep vein thrombosis,conditions
Menstrual cycle - irregular,conditions
Pharyngeal exudates,conditions
Chlamydia infect,conditions
Liver cirrhosis,conditions
Bronchiolitis,conditions
Paronychia,conditions
Poison ivy,conditions
Animal bite,conditions
Angina pectoris,conditions
Epididymitis,conditions
Jaw pain,conditions
Major depression - recurrent,conditions
Diabetic ketoacidosis,conditions
Appendicitis,conditions
Benign prostatic hypertrophy,conditions
Hearing loss,conditions
Foot ulcer - diabetic,conditions
Knee sprain,conditions
Ingrown nail,conditions
Cocaine abuse,conditions
Tremor,conditions
Asthma - mild persistent,conditions
Headache - tension,conditions
Asthma - moderate persistent,conditions
Asthma - mild intermittent,conditions
Conjunctivitis - allergic,conditions
Difficulty walking,conditions
Pleuritic pain,conditions
Panic attack,conditions
Neuropathy - diabetic,conditions
Bipolar disorder - mixed,conditions
Alopecia,conditions
Radius fracture,conditions
Finger pain,conditions
Hernia - ventral,conditions
Bipolar disorder - manic phase,conditions
Metatarsal bone - plantar flexed,conditions
Skin tag,conditions
Pain - neuropathic,conditions
Tinea capitis,conditions
Generalized anxiety disorder,conditions
Transient ischemic attack,conditions
Rectal pain,conditions
Biliary colic,conditions
Pulmonary embolism,conditions
Ethanol withdrawal,conditions
Testicular pain,conditions
Humerus fracture,conditions
Alzheimer's disease,conditions
Dyspepsia,conditions
Sputum production,conditions
Keratosis - actinic,conditions
Otitis media - serous,conditions
Callus,conditions
Condyloma acuminata,conditions
Urine retention,conditions
Bunion,conditions
Ovaries - cystic,conditions
Tinea cruris,conditions
Eye injury,conditions
Neck mass,conditions
Maculopapular rash,conditions
Heel pain,conditions
Bipolar disorder - depressed phase,conditions
Gonorrhea,conditions
Renal colic,conditions
Common cold,conditions
Suicide attempt,conditions
Restless legs,conditions
Chest trauma,conditions
Soft tissue neoplasm - uncertain behavior,conditions
Rash - papular,conditions
Eye foreign body,conditions
Pregnancy - ectopic,conditions
Hypertriglyceridemia,conditions
Head & neck cancer,conditions
Hyperemesis,conditions
Hammer toe,conditions
Pelvic mass,conditions
Shoulder strain,conditions
Atten deficit hyperactivity disorder,conditions
Rosacea,conditions
Respiratory failure,conditions
Superficial phlebitis,conditions
Sexual assault,conditions
Angioedema,conditions
Ascites,conditions
Perirectal abscess,conditions
Hyponatremia,conditions
Lichen simplex chronicus,conditions
Hip or thigh injury,conditions
Obstructive apnea,conditions
Varices,conditions
Ulcer - aphthous,conditions
Peptic ulcer,conditions
Tonsillar abscess,conditions
Colitis,conditions
Laryngitis,conditions
Vaginitis - atrophic,conditions
Eczema - nummular,conditions
Tooth fracture,conditions
Vision - diminished,conditions
Abortion,conditions
Thyroid abnormality other,conditions
Ataxia,conditions
Asthma - severe persistent,conditions
Shoulder sprain,conditions
Somnolence,conditions
Feeding problem,conditions
Aortic stenosis,conditions
Osteopenia,conditions
Prostate cancer,conditions
Macular rash,conditions
Pulmonary edema,conditions
Hypertension with pregnancy,conditions
Parkinsons,conditions
Breast abscess,conditions
Tenosynovitis,conditions
Heroin abuse,conditions
Amyotrophic lateral sclerosis,conditions
Abdominal abscess,conditions
Alopecia areata,conditions
Calf pain,conditions
Smoke inhalation injury,conditions
Dental/mouth abnormality,conditions
Scoliosis,conditions
Anal fissure,conditions
Cardiac arrest,conditions
Abdominal mass,conditions
Ulna fracture,conditions
Three vessel coronary artery disease,conditions
Carbuncle,conditions
Dermatofibroma,conditions
Carotid artery disease,conditions
Non-Hodgkin's lymphoma,conditions
Vasovagal attack,conditions
Pustules,conditions
Galactorrhea,conditions
Narcotic abuse,conditions
Lymphoma,conditions
Suprapubic pain,conditions
Anemia - microcytic,conditions
Muscle weakness,conditions
Trigger finger,conditions
Vulvovaginitis,conditions
Pulmonary fibrosis - interstitial,conditions
Patella tendinitis/bursitis,conditions
Keratosis - pilaris,conditions
Tuberculosis - active,conditions
Glucose intolerance,conditions
Battered person,conditions
Hemangioma,conditions
Extremity ulcer,conditions
Tibial plateau fracture,conditions
Anorexia,conditions
Hand cellulitis,conditions
Preeclampsia,conditions
Stomatitis,conditions
Sickle cell anemia,conditions
Prurigo nodularis,conditions
Mural thrombus,conditions
Nail dystrophy - acquired,conditions
